DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Austria,2023,9104772,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2000,8016200,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2001,8081000,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2002,8141400,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2003,8202500,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2004,8265700,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2005,8347300,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2006,8436400,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2007,8532700,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2008,8629900,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2009,8896900,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2010,8997586,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2011,9111078,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2012,9235085,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2013,9356483,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2014,9477119,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2015,9593038,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2016,9705643,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2017,9809981,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2018,9898085,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2019,9981457,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2020,10067108,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2021,10119133,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Azerbaijan,2022,10156366,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,1960,3212349,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,1961,3265629,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,1962,3329909,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,1963,3406130,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,1964,3480448,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,1965,3553053,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,1966,3627922,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,1967,3700916,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,1968,3767185,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,1969,3734546,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,1970,3685694,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,1971,3731216,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,1972,3789131,
